condition,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,noise_growth,25,SINDy-STLSQ,78.0,0.17231763108822362,0.15439126124554292,True
baseline,noise_growth,26,Bayesian SINDy (spike-slab),30.0,-0.07394494713287658,0.006627670514429668,True
baseline,noise_growth,26,Bayesian SINDy (spike-slab),38.0,1.2440965440033154,0.004302197931618679,True
baseline,noise_growth,26,Bayesian SINDy (spike-slab),46.0,0.5239015389900757,0.03851954746507891,True
baseline,noise_growth,26,Bayesian SINDy (spike-slab),54.0,0.28730221939841094,0.06724884995461833,True
baseline,noise_growth,26,Bayesian SINDy (spike-slab),62.0,0.8866438808158463,0.09194930441967814,True
baseline,noise_growth,26,Bayesian SINDy (spike-slab),70.0,0.8082430075326781,0.19892739911424834,True
baseline,noise_growth,26,Bayesian SINDy (spike-slab),78.0,0.5962839040073128,0.30125835730376144,True
baseline,noise_growth,26,Kalman OU,30.0,-0.08150050036706535,0.017062406267559282,True
baseline,noise_growth,26,Kalman OU,38.0,0.1484807146159463,0.04936873731898733,True
baseline,noise_growth,26,Kalman OU,46.0,-0.4561063107288281,0.1310077505510964,True
baseline,noise_growth,26,Kalman OU,54.0,-0.6180541639882762,0.20902768471643737,True
baseline,noise_growth,26,Kalman OU,62.0,-0.4515504193152047,0.21024779253234324,True
baseline,noise_growth,26,Kalman OU,70.0,-0.5990083779927105,0.33607733397702655,True
baseline,noise_growth,26,Kalman OU,78.0,-0.47372336348321964,0.38070258054903783,True
baseline,noise_growth,26,Latent Neural SDE (VI),30.0,-0.26338744163513184,0.0011707853536761792,True
baseline,noise_growth,26,Latent Neural SDE (VI),38.0,0.8217262029647827,-0.00166008657914829,True
baseline,noise_growth,26,Latent Neural SDE (VI),46.0,0.8010883331298828,0.0363427871211674,True
baseline,noise_growth,26,Latent Neural SDE (VI),54.0,0.7488808631896973,0.09130048988133188,True
baseline,noise_growth,26,Latent Neural SDE (VI),62.0,0.7971556782722473,0.13242674136195942,True
baseline,noise_growth,26,Latent Neural SDE (VI),70.0,0.6395939588546753,0.17481567292577715,True
baseline,noise_growth,26,Latent Neural SDE (VI),78.0,-0.136397123336792,0.259233408687459,True
