condition,system,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,bistable,noise_growth,24,SINDy-STLSQ,38.0,-3.9841469667742957,-0.0019086261107713054,True
baseline,bistable,noise_growth,24,SINDy-STLSQ,54.0,-1.4593003099211819,-0.0001583079269207449,True
baseline,bistable,noise_growth,24,SINDy-STLSQ,70.0,-0.7786050297997331,0.006112445100136019,True
baseline,bistable,noise_growth,24,SINDy-STLSQ,78.0,-0.4431793657970369,0.010606035642991951,True
baseline,bistable,noise_growth,25,Bayesian SINDy (spike-slab),38.0,-0.3718474989454532,0.009171955242684798,True
baseline,bistable,noise_growth,25,Bayesian SINDy (spike-slab),54.0,0.0905566623707168,0.00667437939455634,True
baseline,bistable,noise_growth,25,Bayesian SINDy (spike-slab),70.0,0.8490547337872054,0.01333820166605397,True
baseline,bistable,noise_growth,25,Bayesian SINDy (spike-slab),78.0,1.584630251724282,0.02468707609102487,True
baseline,bistable,noise_growth,25,Kalman OU,38.0,0.0,-0.0024108298868330685,True
baseline,bistable,noise_growth,25,Kalman OU,54.0,2.363617479264422,-0.03362431681001145,True
baseline,bistable,noise_growth,25,Kalman OU,70.0,1.8102690706004194,-0.010065010155087387,True
baseline,bistable,noise_growth,25,Kalman OU,78.0,1.1259867636816405,0.035498201336805466,True
baseline,bistable,noise_growth,25,Latent Neural SDE (VI),38.0,-0.5644760131835938,0.007947789261180352,True
baseline,bistable,noise_growth,25,Latent Neural SDE (VI),54.0,-0.0003304481506347656,0.003322048027443736,True
baseline,bistable,noise_growth,25,Latent Neural SDE (VI),70.0,0.6311149597167969,0.007440405250642948,True
baseline,bistable,noise_growth,25,Latent Neural SDE (VI),78.0,1.9059598445892334,0.020206651662258476,True
baseline,bistable,noise_growth,25,Moment OU,38.0,,,False
baseline,bistable,noise_growth,25,Moment OU,54.0,,,False
baseline,bistable,noise_growth,25,Moment OU,70.0,,,False
baseline,bistable,noise_growth,25,Moment OU,78.0,,,False
baseline,bistable,noise_growth,25,Neural SDE (Euler),38.0,-0.5962176322937012,0.008156359644052716,True
baseline,bistable,noise_growth,25,Neural SDE (Euler),54.0,0.20178461074829102,0.004222296789748822,True
baseline,bistable,noise_growth,25,Neural SDE (Euler),70.0,0.7307753562927246,0.007747095058481368,True
baseline,bistable,noise_growth,25,Neural SDE (Euler),78.0,2.095895528793335,0.018373468524961217,True
baseline,bistable,noise_growth,25,SINDy-STLSQ,38.0,-1.2073142919495394,0.009911708147884501,True
baseline,bistable,noise_growth,25,SINDy-STLSQ,54.0,-0.8937878083464978,0.007467737150474746,True
baseline,bistable,noise_growth,25,SINDy-STLSQ,70.0,-0.26873550638507293,0.01357130367141253,True
baseline,bistable,noise_growth,25,SINDy-STLSQ,78.0,1.4580362206267954,0.02499243933342543,True
baseline,bistable,noise_growth,26,Bayesian SINDy (spike-slab),38.0,0.09935658634277544,-0.003098417413666496,True
baseline,bistable,noise_growth,26,Bayesian SINDy (spike-slab),54.0,-1.2851828456460392,0.0062206096997844545,True
baseline,bistable,noise_growth,26,Bayesian SINDy (spike-slab),70.0,-0.047316798737886856,0.023479050119197598,True
baseline,bistable,noise_growth,26,Bayesian SINDy (spike-slab),78.0,0.3798294196643879,0.04058339621521943,True
baseline,bistable,noise_growth,26,Kalman OU,38.0,-2.216926507555095,0.058793392887944884,True
baseline,bistable,noise_growth,26,Kalman OU,54.0,-0.19431326482497013,0.0020907883298034932,True
baseline,bistable,noise_growth,26,Kalman OU,70.0,-0.4488965174746792,0.024657855375674484,True
baseline,bistable,noise_growth,26,Kalman OU,78.0,0.013505616178351998,0.025328905413531312,True
baseline,bistable,noise_growth,26,Latent Neural SDE (VI),38.0,0.16932988166809082,-0.0064804839743585335,True
baseline,bistable,noise_growth,26,Latent Neural SDE (VI),54.0,-0.8769049644470215,0.0103275210452059,True
baseline,bistable,noise_growth,26,Latent Neural SDE (VI),70.0,0.6751105785369873,0.029955115351121164,True
baseline,bistable,noise_growth,26,Latent Neural SDE (VI),78.0,-0.033319950103759766,0.04710880139948802,True
baseline,bistable,noise_growth,26,Moment OU,38.0,,,False
baseline,bistable,noise_growth,26,Moment OU,54.0,,,False
baseline,bistable,noise_growth,26,Moment OU,70.0,,,False
baseline,bistable,noise_growth,26,Moment OU,78.0,,,False
baseline,bistable,noise_growth,26,Neural SDE (Euler),38.0,0.14950942993164062,-0.008353408992576083,True
baseline,bistable,noise_growth,26,Neural SDE (Euler),54.0,-1.050445556640625,0.009740270212122593,True
baseline,bistable,noise_growth,26,Neural SDE (Euler),70.0,0.47777843475341797,0.029576694324541047,True
baseline,bistable,noise_growth,26,Neural SDE (Euler),78.0,-0.1560525894165039,0.04702415306049798,True
baseline,bistable,noise_growth,26,SINDy-STLSQ,38.0,-0.8512230866543895,-0.00376279328216908,True
baseline,bistable,noise_growth,26,SINDy-STLSQ,54.0,-2.0035947593536374,0.004593648794230229,True
baseline,bistable,noise_growth,26,SINDy-STLSQ,70.0,-0.39772755493288514,0.02294320377907684,True
baseline,bistable,noise_growth,26,SINDy-STLSQ,78.0,0.14822686244743344,0.040789718794401436,True
baseline,bistable,noise_growth,27,Bayesian SINDy (spike-slab),38.0,0.12690054232820902,-0.001239415648096695,True
baseline,bistable,noise_growth,27,Bayesian SINDy (spike-slab),54.0,-0.40579379036726904,0.004844966584191257,True
baseline,bistable,noise_growth,27,Bayesian SINDy (spike-slab),70.0,0.6893074358808255,0.028407663852966683,True
baseline,bistable,noise_growth,27,Bayesian SINDy (spike-slab),78.0,0.7951321294977709,0.02938395651461874,True
baseline,bistable,noise_growth,27,Kalman OU,38.0,-0.5740664698101745,0.010410796655955776,True
baseline,bistable,noise_growth,27,Kalman OU,54.0,-0.8493452108340667,0.007109857170333564,True
baseline,bistable,noise_growth,27,Kalman OU,70.0,0.4874632007233082,0.021846348188470782,True
